"Add Attribute","Voeg attribuut toe"
"Add after","Voeg toe na"
"Add to bottom","Toevoegen aan onderkant"
"Add to top","Toevoegen aan bovenkant"
"Ajax page load threshold ","Ajax pageload-drempel "
"Allows product attributes to be displayed in the drag-and-drop window. Use commas ',' to separate multiple attribute codes.","Hiermee kunnen product-attributen worden weergegeven in het drag-and-drop-venster. Gebruik komma's ',' om meerdere attribuutcodes scheiden."
"Assign Products","Producten toewijzen"
"Attribute","Attribuut"
"Attributes","Attributen"
"Automatic sort","Automatisch sorteren"
"Clone category ID(s)","Categorie-ID(s) clonen"
"Column count","Aantal kolommen"
"Cron schedule","Cron-schedule"
"Date Created (days ago)","Aanmaakdatum (dagen geleden)"
"Date Modified (days ago)","Wijzigingsdatum (dagen geleden)"
"Default number of columns in the drag-and-drop window.","Standaard aantal kolommen in het drag-and-drop-venster."
"Delete","weghalen"
"Hero Products","Topproducten"
"Hide category position input fields","Invoervelden categorieposities verbergen"
"Hide disabled products","Niet-actieve producten verbergen"
"Hide not-visible products","Niet-zichtbare producten"
"If set to 'Yes' (recommended), then when a category is saved any changes that need to be considered for smart category rules are queued for processing by cron.","Indien ingesteld op 'Ja' (aanbevolen), dan worden, wanneer een categorie wordt opgeslagen, alle wijzigingen die moeten worden overwogen voor slimme categorieregels in de wachtrij gezet voor verwerking door cron."
"If set to 'Yes' (recommended), then when a product is saved any changes to attributes that need to be considered for smart category rules are queued for processing by cron.","Indien ingesteld op 'Ja' (aanbevolen), dan worden, wanneer een product wordt opgeslagen, alle wijzigingen aan attributen die moeten worden overwogen voor slimme categorieregels in de wachtrij gezet voor verwerking door cron."
"Image file was not found.","Afbeelding bestand niet gevonden."
"Launch Merchandiser","Start Merchandiser"
"List attribute codes","Lijst met attribuutcodes maken"
"Logic","Logica"
"Max extra images thumbnail ","Max extra afbeeldingen miniatuurweergave"
"Move out of stock to bottom","Onvoorradig naar beneden verplaatsen"
"New product handling","Afhandeling van nieuwe producten"
"No","Nee"
"No Category set","Geen categorie ingesteld"
"Only include products matched by rules","Alleen producten volgens regels meenemen"
"Options","Opties"
"Please enter SKUs below, one per line.","Vul hieronder SKU's in, één per regel."
"Queued updates to categories will only be processed automatically if this is set to 'Yes' (recommended).","De wachtrij updates voor categorieën zal alleen automatisch worden verwerkt als dit is ingesteld op 'Ja' (aanbevolen)."
"Re-build Visual Merchandiser categories","Visual Merchandiser-categorieën opnieuw opbouwen"
"Rebuild Category Products for Smart Categories","Categorieproducten voor slimme categorieën opnieuw opbouwen"
"Rebuild Category Products for Smart Categories","Categorieproducten voor slimme categorieën opnieuw opbouwen"
"Rebuild On Cron","Opnieuw opbouwen via cron"
"Rebuild on category save","Opnieuw opbouwen bij opslaan categorie"
"Rebuild on product save","Opnieuw opbouwen bij opslaan product"
"Remove Products","Producten verwijderen"
"Save positions","Posities opslaan"
"Saving category","Categorie bewaren"
"Show Visual Merchandiser","Toon Visual Merchandiser"
"Show Visual Merchandiser","Toon Visual Merchandiser"
"Show creation date ","Toon aanmaakdatum "
"Show extra images ","Toon extra afbeeldingen"
"Shows product creation dates in the drag-and-drop window.","Toont product-aanmaakdatums in het drag-and-drop-venster."
"Smart Category: Select the attributes to use","Slimme categorie: selecteer de te gebruiken attributen"
"Special price to bottom","Speciale prijs naar beneden"
"Special price to top","Speciale prijs naar boven"
"Stock: ","Voorraad: "
"This hides products in the drag-and-drop window that are disabled.","Dit verbergt producten in het drag-and-drop-venster die zijn uitgeschakeld."
"This hides products in the drag-and-drop window that have their visibility set to 'Not Visible Individually'.","Dit verbergt producten in het drag-and-drop-venster waarvan de zichtbaarheid is ingesteld op 'niet individueel zichtbaar'."
"This is the current schedule that category updates are processed.","Dit is de huidige planning voor de verwerking van categorie-updates."
"This option shows additional gallery images for each product as thumbnails.","Deze optie geeft  voor elk product extra galeriebeelden als miniaturen."
"This prevents manual updating of category positions in Manage Categories.","Dit voorkomt handmatig bijwerken van de categorieposities in Manage Categories."
"Value","Waarde"
"Visual Merchandiser","Visual Merchandiser"
"Visual Merchandiser","Visual Merchandiser"
"Visual Merchandiser categories rebuilt successfully.","Visual Merchandiser-categorieën opnieuw opbouwen is gelukt."
"Visual Merchandising Options","Visual Merchandising-opties"
"When a category contains more products than this number, then Ajax page loads are enabled. Leave field empty to disable Ajax page loads - however, this may cause large categories not to load properly in the drag-and-drop window.","Wanneer een categorie meer producten dan dit aantal bevat, dan worden Ajax pageloads ingeschakeld. Laat dit veld leeg om Ajax pageloads uit te schakelen. Dit kan er echter toe leiden dat grote categorieën niet goed in het drag-and-drop-venster worden geladen."
"When new products get included in a category for the first time by a smart category rule, this setting determines whether they are automatically added to the top or bottom of the category.","Als nieuwe producten voor de eerste keer door een slimme categorieregel in een categorie komen, bepaalt deze instelling of ze automatisch worden toegevoegd aan de boven- of onderkant van de categorie."
"Yes","Ja"
"categories","categorieën"
"category","categorie"
"false","niet waar"
